Case_Study_ID,Question_ID,Scenario_Text,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Option,Reasoning
1,1,"Equity Researchers have estimated the rate of returns for Stock A, Stock B and Market Portfolio under each state of the economy is as under: Economy Probability Return on Stock A (%) Return on Stock B (%) Market Portfolio (%) Boom 0.3 16 19 18 Normal 0.4 14 16 15 Recession 0.3 -9 -7 -8 The risk-free rate of return is expected to be 8%. The covariance between Stock A and the Market Portfolio is 122.70, while the covariance between Stock B and the Market Portfolio is 125.40. Assume that the CAPM framework is valid in this market. From the information given above, choose the correct answer to the following questions:",1. The expected rate of return (percentage) for Stocks A and B,7.70% and 9.00%,10% and 9.00%,7.70% and 10%,13.1% and 14.20%,c,Stock A = 0.3 x 16 + 0.4 x 14 + 0.3 x ( - 9) = 7.70 Stock B = 0.3 x 19 + 0.4 x 16 + 0.3 x ( - 7 ) = 10
1,2,"Equity Researchers have estimated the rate of returns for Stock A, Stock B and Market Portfolio under each state of the economy is as under: Economy Probability Return on Stock A (%) Return on Stock B (%) Market Portfolio (%) Boom 0.3 16 19 18 Normal 0.4 14 16 15 Recession 0.3 -9 -7 -8 The risk-free rate of return is expected to be 8%. The covariance between Stock A and the Market Portfolio is 122.70, while the covariance between Stock B and the Market Portfolio is 125.40. Assume that the CAPM framework is valid in this market. From the information given above, choose the correct answer to the following questions:",2. What will be the variance of market portfolio?,38.4,- 4.8,126.8,125.4,d,(18 â€“ 9) 2 0.3 + (15 â€“ 9) 2 0.4 + ( - 8 â€“ 9) 2 0.3 = 125.4
1,3,"Equity Researchers have estimated the rate of returns for Stock A, Stock B and Market Portfolio under each state of the economy is as under: Economy Probability Return on Stock A (%) Return on Stock B (%) Market Portfolio (%) Boom 0.3 16 19 18 Normal 0.4 14 16 15 Recession 0.3 -9 -7 -8 The risk-free rate of return is expected to be 8%. The covariance between Stock A and the Market Portfolio is 122.70, while the covariance between Stock B and the Market Portfolio is 125.40. Assume that the CAPM framework is valid in this market. From the information given above, choose the correct answer to the following questions:",3. What will be the beta of Stock A and Stock B respectively?,0.9542 and 1.00,0.9862 and 1.24,0.9785 and 1.00,0.9785 and 1.24,c,Stock A = 122.70/ 125.40 = 0.9785 Stock B = 125.40/ 125.40 = 1
1,4,"Equity Researchers have estimated the rate of returns for Stock A, Stock B and Market Portfolio under each state of the economy is as under: Economy Probability Return on Stock A (%) Return on Stock B (%) Market Portfolio (%) Boom 0.3 16 19 18 Normal 0.4 14 16 15 Recession 0.3 -9 -7 -8 The risk-free rate of return is expected to be 8%. The covariance between Stock A and the Market Portfolio is 122.70, while the covariance between Stock B and the Market Portfolio is 125.40. Assume that the CAPM framework is valid in this market. From the information given above, choose the correct answer to the following questions:",4. Required rate of return of Stock A is _________ and Stock B is _________.,8.9785 % and 9%,9% and 8.978%,8.9875% and 9%,8.9785% and 10.4%,a,Stock A = 8% + 0.9785(9% - 8%) = 8.9785% Stock B = 8% + 1(9% - 8%) = 9%
1,5,"Equity Researchers have estimated the rate of returns for Stock A, Stock B and Market Portfolio under each state of the economy is as under: Economy Probability Return on Stock A (%) Return on Stock B (%) Market Portfolio (%) Boom 0.3 16 19 18 Normal 0.4 14 16 15 Recession 0.3 -9 -7 -8 The risk-free rate of return is expected to be 8%. The covariance between Stock A and the Market Portfolio is 122.70, while the covariance between Stock B and the Market Portfolio is 125.40. Assume that the CAPM framework is valid in this market. From the information given above, choose the correct answer to the following questions:",5. Which of the following statements is correct for purchase or sale of Stock A and Stock B?,"Stock A has a positive alpha, and Stock B has a negative alpha. This indicates that Stock A is underpriced and Stock B is overpriced. Therefore, purchase Stock A and sell Stock B.","Both Stock A and Stock B have positive alpha values, suggesting they are underpriced. Therefore, purchase both stocks.","Stock A has a negative alpha, while Stock B has a positive alpha. This means Stock A is overpriced and Stock B is underpriced. Therefore, sell Stock A and purchase Stock B.","Both Stock A and Stock B have negative alpha values, indicating they are overpriced. Therefore, sell both stocks.",c,"While Stock Aâ€™s expected rate of return is lower than that required return. However, for Stock B the reverse is true."
2,1,"Steady Mutual Fund has the following assets in Scheme - Star Gold at the close of business as on 31 st March, 2025: Company No. of Shares (units) Market Price per share ( ` ) A Ltd. 20,000 25 B Ltd. 30,000 350 C Ltd. 38,000 290 D Ltd. 50,000 400 The total numbers of units of Scheme - Star Gold are 20 lakhs. The Scheme - Star Gold has accrued expenses of ` 2,00,000 and other liabilities of ` 2,50,000. From the information given above, choose the correct answer to the following questions:",1. Total gross value of the Scheme - Star Gold is ..,` 325.00 lakhs,` 420.20 lakhs,` 480.40 lakhs,` 520.30 lakhs,b,20000 x 25 + 30000 x 350 + 38000 x 290 + 50000 x 400
2,2,"Steady Mutual Fund has the following assets in Scheme - Star Gold at the close of business as on 31 st March, 2025: Company No. of Shares (units) Market Price per share ( ` ) A Ltd. 20,000 25 B Ltd. 30,000 350 C Ltd. 38,000 290 D Ltd. 50,000 400 The total numbers of units of Scheme - Star Gold are 20 lakhs. The Scheme - Star Gold has accrued expenses of ` 2,00,000 and other liabilities of ` 2,50,000. From the information given above, choose the correct answer to the following questions:",2. Total net value of the Scheme - Star Gold is ..,` 422.70 lakhs,` 420.70 lakhs,` 415.70 lakhs,` 424.70 lakhs,c,` 420.20 lakhs - ` 4.50 lakhs = ` 4 15.7 0 lakhs
2,3,"Steady Mutual Fund has the following assets in Scheme - Star Gold at the close of business as on 31 st March, 2025: Company No. of Shares (units) Market Price per share ( ` ) A Ltd. 20,000 25 B Ltd. 30,000 350 C Ltd. 38,000 290 D Ltd. 50,000 400 The total numbers of units of Scheme - Star Gold are 20 lakhs. The Scheme - Star Gold has accrued expenses of ` 2,00,000 and other liabilities of ` 2,50,000. From the information given above, choose the correct answer to the following questions:",3. NAV per unit of the Scheme- Star Gold is,` 21.135,` 21.035,` 20.785,` 21.235,c,` 4 15.7 0 lakhs / 20 lakhs = ` 20.785
3,1,"Mr. X, an investor buys the stocks of WBL Limited worth ` 21,60,000 due to very strong fundamentals. Since last 3 months, the market sentiment is weak and witnessed a significant volatility and considered to remain weak for about the next three months. Keeping in the mind volatility in the market, Mr. X is planning to hedge his portfolio in the future market. The Beta of WBL stock is 1.3 and the current value of NIFTY is 2250 and 3 months future is selling at 2310. The current market price of the WBL stock is ` 240. Each Nifty future can be trade in units of 240 only. Assume there is no transaction cost and M to M Margin. From the information given above, choose the correct answer to the following questions:",1. Number of future contract to be buy/sell to hedge WBL stock against expected fall in the market (rounded of contracts) -,Buy 6 future contracts,Sell 5 future contracts,Buy 5 future contracts,Sell 6 future contracts,b,( ` 2160000 x 1.3)/ (2310 x ` 240) = 5.06 rounded off to 5
3,2,"Mr. X, an investor buys the stocks of WBL Limited worth ` 21,60,000 due to very strong fundamentals. Since last 3 months, the market sentiment is weak and witnessed a significant volatility and considered to remain weak for about the next three months. Keeping in the mind volatility in the market, Mr. X is planning to hedge his portfolio in the future market. The Beta of WBL stock is 1.3 and the current value of NIFTY is 2250 and 3 months future is selling at 2310. The current market price of the WBL stock is ` 240. Each Nifty future can be trade in units of 240 only. Assume there is no transaction cost and M to M Margin. From the information given above, choose the correct answer to the following questions:","2. If Nifty index fall by 10% from 2250 to 2025 and WBL stock falls to ` 212, what will be Net Gain/Loss if portfolio was hedged on NIFTY future?","Net Gain ` 3,42,000","Net Gain ` 3,02,100","Net Gain ` 50,100","Net Gain ` 90,000",d,"9000( ` 212 â€“ ` 240) + (2310 â€“ 2025) x 5 x ` 240 = ` 90,000"
