Case_Study_ID,Question_ID,Scenario_Text,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Option,Reasoning
1,1,"Payfast Limited offers an application-based service to make payments by phone. It allows linking of phone numbers with bank and allow bank to bank transfer through mobile phone. It was the 1 st company in the country to provide such facility. The customers could not believe that money transfer process could be made so much simpler and the company witnessed exponential growth in very few days. The services level was immaculate and no charges were levied on the customers. Seeing the growth of Payfast, many other companies joined the industry and started providing this service. Now, Payfast was required to provide other innovative offerings to the customers to maintain its leadership position. Further, the user count was increasing and so Payfast was spending more to maintain security of the user data. Security breach, if any, could result into loss of millions to its users. Similarly, all its competitors were also spending a significant amount on the security of user data. In order to incentivize customers, Payfast starting giving cash backs to its customers on every transfer. This was unheard of. Getting money for making transfer was unheard and its competitors also could not fathom it. To compete with Payfast, its competitors started adding new features on their applications like movie booking, cab booking, etc. But this was not well received by customers as customers used different apps for such transactions which had much better user interface and features. Slowly, the competitors removed those features and went back to their original product. To improve its brand presence, Payfast hired an international brand designed and designed a new logo for Payfast.",1. How would you best describe the offering by Payfast of application to make payments through mobile phone?,Performance attribute,Delighter,Indifferent,"Delighter when introduced, currently threshold attribute",d,"Reason Delighter when introduced, currently threshold attribute as currently all competitors are providing this feature."
1,2,"Payfast Limited offers an application-based service to make payments by phone. It allows linking of phone numbers with bank and allow bank to bank transfer through mobile phone. It was the 1 st company in the country to provide such facility. The customers could not believe that money transfer process could be made so much simpler and the company witnessed exponential growth in very few days. The services level was immaculate and no charges were levied on the customers. Seeing the growth of Payfast, many other companies joined the industry and started providing this service. Now, Payfast was required to provide other innovative offerings to the customers to maintain its leadership position. Further, the user count was increasing and so Payfast was spending more to maintain security of the user data. Security breach, if any, could result into loss of millions to its users. Similarly, all its competitors were also spending a significant amount on the security of user data. In order to incentivize customers, Payfast starting giving cash backs to its customers on every transfer. This was unheard of. Getting money for making transfer was unheard and its competitors also could not fathom it. To compete with Payfast, its competitors started adding new features on their applications like movie booking, cab booking, etc. But this was not well received by customers as customers used different apps for such transactions which had much better user interface and features. Slowly, the competitors removed those features and went back to their original product. To improve its brand presence, Payfast hired an international brand designed and designed a new logo for Payfast.",Which would be most appropriate description for Payfastâ€™s offering of security improvement for user data?,Delighter,Performance attribute,Indifferent,Reverse,b,Reason Performance attribute as non-maintaining security will cause customer dissatisfaction.
1,3,"Payfast Limited offers an application-based service to make payments by phone. It allows linking of phone numbers with bank and allow bank to bank transfer through mobile phone. It was the 1 st company in the country to provide such facility. The customers could not believe that money transfer process could be made so much simpler and the company witnessed exponential growth in very few days. The services level was immaculate and no charges were levied on the customers. Seeing the growth of Payfast, many other companies joined the industry and started providing this service. Now, Payfast was required to provide other innovative offerings to the customers to maintain its leadership position. Further, the user count was increasing and so Payfast was spending more to maintain security of the user data. Security breach, if any, could result into loss of millions to its users. Similarly, all its competitors were also spending a significant amount on the security of user data. In order to incentivize customers, Payfast starting giving cash backs to its customers on every transfer. This was unheard of. Getting money for making transfer was unheard and its competitors also could not fathom it. To compete with Payfast, its competitors started adding new features on their applications like movie booking, cab booking, etc. But this was not well received by customers as customers used different apps for such transactions which had much better user interface and features. Slowly, the competitors removed those features and went back to their original product. To improve its brand presence, Payfast hired an international brand designed and designed a new logo for Payfast.",Should Kano spend huge amount on logo designing to improve customer satisfaction?,"Yes, as customers love great logo","No, as customers would be indifferent","Yes, as competitors had better logo","No, as companies change logo frequently",b,Reason No as customer would be indifferent as logo does not add any satisfaction to customer.
1,4,"Payfast Limited offers an application-based service to make payments by phone. It allows linking of phone numbers with bank and allow bank to bank transfer through mobile phone. It was the 1 st company in the country to provide such facility. The customers could not believe that money transfer process could be made so much simpler and the company witnessed exponential growth in very few days. The services level was immaculate and no charges were levied on the customers. Seeing the growth of Payfast, many other companies joined the industry and started providing this service. Now, Payfast was required to provide other innovative offerings to the customers to maintain its leadership position. Further, the user count was increasing and so Payfast was spending more to maintain security of the user data. Security breach, if any, could result into loss of millions to its users. Similarly, all its competitors were also spending a significant amount on the security of user data. In order to incentivize customers, Payfast starting giving cash backs to its customers on every transfer. This was unheard of. Getting money for making transfer was unheard and its competitors also could not fathom it. To compete with Payfast, its competitors started adding new features on their applications like movie booking, cab booking, etc. But this was not well received by customers as customers used different apps for such transactions which had much better user interface and features. Slowly, the competitors removed those features and went back to their original product. To improve its brand presence, Payfast hired an international brand designed and designed a new logo for Payfast.",Is giving cashbacks by Payfast a justified cost?,"Yes, as customers would be delighted","No, as customers would be indifferent","No, as it would affect profitability","No, as competitors would eventually catch up",a,"Reason Yes, as customers would be delighted as this is completely new way and customer satisfaction will increase."
1,5,"Payfast Limited offers an application-based service to make payments by phone. It allows linking of phone numbers with bank and allow bank to bank transfer through mobile phone. It was the 1 st company in the country to provide such facility. The customers could not believe that money transfer process could be made so much simpler and the company witnessed exponential growth in very few days. The services level was immaculate and no charges were levied on the customers. Seeing the growth of Payfast, many other companies joined the industry and started providing this service. Now, Payfast was required to provide other innovative offerings to the customers to maintain its leadership position. Further, the user count was increasing and so Payfast was spending more to maintain security of the user data. Security breach, if any, could result into loss of millions to its users. Similarly, all its competitors were also spending a significant amount on the security of user data. In order to incentivize customers, Payfast starting giving cash backs to its customers on every transfer. This was unheard of. Getting money for making transfer was unheard and its competitors also could not fathom it. To compete with Payfast, its competitors started adding new features on their applications like movie booking, cab booking, etc. But this was not well received by customers as customers used different apps for such transactions which had much better user interface and features. Slowly, the competitors removed those features and went back to their original product. To improve its brand presence, Payfast hired an international brand designed and designed a new logo for Payfast.",Adding different features by the competitors can be termed as below?,Indifferent,Performance Attributes,Threshold,Reversal,d,"Reason Reversal, as complexity, has led to customers not liking it."
2,1,"You recently joined Management Accounting department of a fashion retail brand â€˜ Paridhaan â€™ which is struggling with dipping margin and deficiencies issues in distribution network. In meeting with CEO and COO you explained to them that Supply Chain Management can be great help for Paridhaan to overcome the many of challenges that Paridhaan is currently facing. You explained them the case of Sara Fashions, how they manage their Supply Chain to create value. Sara Fashions is a well-known premium international clothing manufacturer and retailer based in Spain that was founded in the 1980s. Because of the collaborative relationship with customers and suppliers, Sara can complete the development and shipment of a new product to its stores in two to six weeks, which is faster than the industry average of six months. Sara sells their clothing through its own retail outlets. One of the most significant benefits of Sara's supply chain strategy is its ability to respond quickly to all fashion trends and provide customers with the latest fashion outfits in two weeks in case of existing items while 4-6 weeks in case of new items. Secondly, Sara never produces in large quantities, so if the style does not sell as well as expected, Sara does not suffer as much loss because there is not much stock to discount. Thirdly, the advantages of a vertically integrated and shortened supply chain are obvious. Sara's advertising cost is only 0.3% of its revenue, whereas similar fashion retailers typically spend 3% on advertising and marketing. The high frequency of shifts in displayed merchandise (about three-quarters of them are changed every three weeks) allows for consistent customer visits. The main disadvantage of Sara's supply chain is that because Sara owns all of the supply chain channels, it is difficult to expand to distant locations because it is very expensive to distribute such products. Sara factories in Spain employ flexible manufacturing systems to allow for rapid changeover operations. Only 24% of all items are manufactured in Asia and Africa, while 50% are manufactured in Spain; and rest 26% in the rest of Europe. Sara's factories can quickly increase and decrease production rates, resulting in less inventory in the supply chain and less need for working capital to finance that inventory. They only do 50 to 60% of their manufacturing in advance, compared to competitors' 80 to 90%. Sara does not need to bet heavily on yearly fashion trends. They can place numerous smaller bets on short-term trends that are easier to predict. They employ approximately 3,000 workers in manufacturing operations in Spain at an average wage of 11.00 euros per hour, compared to an average wage of 0.80 euros per hour in Asia. COO pointed that there are two flows that majorly we need to manage at Paridhaan ; the physical flow of material and exchange of information. Since many of terms and points are new for them hence, they shower you back with questions which you need to answer (with most appropriate option) keeping above facts in backdrop of your mind.","1. By offering products through an exclusive distribution channel, Sara can _________. i. Differentiate ii. Better understand their customers iii. Encourage additional purchase iv. Specialise in a particular type of discounted merchandise",Only i,Only iii,iii and iv,"i, ii, and iii above",d,"Reason Sara only sells its clothing through its own retail outlets. This allows Sara to better understand their customers and encourages additional purchases. By offering products through an exclusive distribution channel, Sara can differentiate."
2,2,"You recently joined Management Accounting department of a fashion retail brand â€˜ Paridhaan â€™ which is struggling with dipping margin and deficiencies issues in distribution network. In meeting with CEO and COO you explained to them that Supply Chain Management can be great help for Paridhaan to overcome the many of challenges that Paridhaan is currently facing. You explained them the case of Sara Fashions, how they manage their Supply Chain to create value. Sara Fashions is a well-known premium international clothing manufacturer and retailer based in Spain that was founded in the 1980s. Because of the collaborative relationship with customers and suppliers, Sara can complete the development and shipment of a new product to its stores in two to six weeks, which is faster than the industry average of six months. Sara sells their clothing through its own retail outlets. One of the most significant benefits of Sara's supply chain strategy is its ability to respond quickly to all fashion trends and provide customers with the latest fashion outfits in two weeks in case of existing items while 4-6 weeks in case of new items. Secondly, Sara never produces in large quantities, so if the style does not sell as well as expected, Sara does not suffer as much loss because there is not much stock to discount. Thirdly, the advantages of a vertically integrated and shortened supply chain are obvious. Sara's advertising cost is only 0.3% of its revenue, whereas similar fashion retailers typically spend 3% on advertising and marketing. The high frequency of shifts in displayed merchandise (about three-quarters of them are changed every three weeks) allows for consistent customer visits. The main disadvantage of Sara's supply chain is that because Sara owns all of the supply chain channels, it is difficult to expand to distant locations because it is very expensive to distribute such products. Sara factories in Spain employ flexible manufacturing systems to allow for rapid changeover operations. Only 24% of all items are manufactured in Asia and Africa, while 50% are manufactured in Spain; and rest 26% in the rest of Europe. Sara's factories can quickly increase and decrease production rates, resulting in less inventory in the supply chain and less need for working capital to finance that inventory. They only do 50 to 60% of their manufacturing in advance, compared to competitors' 80 to 90%. Sara does not need to bet heavily on yearly fashion trends. They can place numerous smaller bets on short-term trends that are easier to predict. They employ approximately 3,000 workers in manufacturing operations in Spain at an average wage of 11.00 euros per hour, compared to an average wage of 0.80 euros per hour in Asia. COO pointed that there are two flows that majorly we need to manage at Paridhaan ; the physical flow of material and exchange of information. Since many of terms and points are new for them hence, they shower you back with questions which you need to answer (with most appropriate option) keeping above facts in backdrop of your mind.","COO statement in context of flows pertaining to supply chain management at Paridhaan , which of the following is/ are true for supply chain management? i. The physical material generally has up-stream movement ii. Exchange of information always happens both ways iii. Flow of cash always has downstream movement",Only i,Only ii,Only ii and iii,"All of the i, ii, and iii above",b,"Reason There are three types of main flows that happen in any supply chains: flow of materials/ goods, flow of money/ cash, and flow of information. There is a forward flow of materials/ goods for the regular flow that happens all the way from higher tier suppliers (upstream) to the end-consumer (downstream). In addition, if there are any returns for any reason, there will be a reverse flow of materials/ goods in the opposite direction to the forward flow. Flow of money (cash flow) happens from downstream to upstream. For example, the retailer needs to pay the distributor for the goods they have received from them. Flow of information happens both ways in the supply chain since organizations will need to share different type of information with each other so that the whole supply chain can make better decisions to improve overall performance."
2,3,"You recently joined Management Accounting department of a fashion retail brand â€˜ Paridhaan â€™ which is struggling with dipping margin and deficiencies issues in distribution network. In meeting with CEO and COO you explained to them that Supply Chain Management can be great help for Paridhaan to overcome the many of challenges that Paridhaan is currently facing. You explained them the case of Sara Fashions, how they manage their Supply Chain to create value. Sara Fashions is a well-known premium international clothing manufacturer and retailer based in Spain that was founded in the 1980s. Because of the collaborative relationship with customers and suppliers, Sara can complete the development and shipment of a new product to its stores in two to six weeks, which is faster than the industry average of six months. Sara sells their clothing through its own retail outlets. One of the most significant benefits of Sara's supply chain strategy is its ability to respond quickly to all fashion trends and provide customers with the latest fashion outfits in two weeks in case of existing items while 4-6 weeks in case of new items. Secondly, Sara never produces in large quantities, so if the style does not sell as well as expected, Sara does not suffer as much loss because there is not much stock to discount. Thirdly, the advantages of a vertically integrated and shortened supply chain are obvious. Sara's advertising cost is only 0.3% of its revenue, whereas similar fashion retailers typically spend 3% on advertising and marketing. The high frequency of shifts in displayed merchandise (about three-quarters of them are changed every three weeks) allows for consistent customer visits. The main disadvantage of Sara's supply chain is that because Sara owns all of the supply chain channels, it is difficult to expand to distant locations because it is very expensive to distribute such products. Sara factories in Spain employ flexible manufacturing systems to allow for rapid changeover operations. Only 24% of all items are manufactured in Asia and Africa, while 50% are manufactured in Spain; and rest 26% in the rest of Europe. Sara's factories can quickly increase and decrease production rates, resulting in less inventory in the supply chain and less need for working capital to finance that inventory. They only do 50 to 60% of their manufacturing in advance, compared to competitors' 80 to 90%. Sara does not need to bet heavily on yearly fashion trends. They can place numerous smaller bets on short-term trends that are easier to predict. They employ approximately 3,000 workers in manufacturing operations in Spain at an average wage of 11.00 euros per hour, compared to an average wage of 0.80 euros per hour in Asia. COO pointed that there are two flows that majorly we need to manage at Paridhaan ; the physical flow of material and exchange of information. Since many of terms and points are new for them hence, they shower you back with questions which you need to answer (with most appropriate option) keeping above facts in backdrop of your mind.","Saraâ€™s response time to customerâ€™s demand is comparatively less than its peers, hence it has better control over physical flow of supply chain and capable to counter negative effects. One such effect is, due to small change in customer demands, inventory oscillations become progressively larger looking through the supply chain. This is known as â€“",Net effect,Bullwhip effect,Chain effect,Reverse effect,b,"Reason The bullwhip effect is a supply chain phenomenon describing how small fluctuations in demand at the retail level can cause progressively larger fluctuations in demand at the wholesale, distributor, manufacturer, and raw material supplier levels. The effect is named after the physics involved in cracking a whip."
2,4,"You recently joined Management Accounting department of a fashion retail brand â€˜ Paridhaan â€™ which is struggling with dipping margin and deficiencies issues in distribution network. In meeting with CEO and COO you explained to them that Supply Chain Management can be great help for Paridhaan to overcome the many of challenges that Paridhaan is currently facing. You explained them the case of Sara Fashions, how they manage their Supply Chain to create value. Sara Fashions is a well-known premium international clothing manufacturer and retailer based in Spain that was founded in the 1980s. Because of the collaborative relationship with customers and suppliers, Sara can complete the development and shipment of a new product to its stores in two to six weeks, which is faster than the industry average of six months. Sara sells their clothing through its own retail outlets. One of the most significant benefits of Sara's supply chain strategy is its ability to respond quickly to all fashion trends and provide customers with the latest fashion outfits in two weeks in case of existing items while 4-6 weeks in case of new items. Secondly, Sara never produces in large quantities, so if the style does not sell as well as expected, Sara does not suffer as much loss because there is not much stock to discount. Thirdly, the advantages of a vertically integrated and shortened supply chain are obvious. Sara's advertising cost is only 0.3% of its revenue, whereas similar fashion retailers typically spend 3% on advertising and marketing. The high frequency of shifts in displayed merchandise (about three-quarters of them are changed every three weeks) allows for consistent customer visits. The main disadvantage of Sara's supply chain is that because Sara owns all of the supply chain channels, it is difficult to expand to distant locations because it is very expensive to distribute such products. Sara factories in Spain employ flexible manufacturing systems to allow for rapid changeover operations. Only 24% of all items are manufactured in Asia and Africa, while 50% are manufactured in Spain; and rest 26% in the rest of Europe. Sara's factories can quickly increase and decrease production rates, resulting in less inventory in the supply chain and less need for working capital to finance that inventory. They only do 50 to 60% of their manufacturing in advance, compared to competitors' 80 to 90%. Sara does not need to bet heavily on yearly fashion trends. They can place numerous smaller bets on short-term trends that are easier to predict. They employ approximately 3,000 workers in manufacturing operations in Spain at an average wage of 11.00 euros per hour, compared to an average wage of 0.80 euros per hour in Asia. COO pointed that there are two flows that majorly we need to manage at Paridhaan ; the physical flow of material and exchange of information. Since many of terms and points are new for them hence, they shower you back with questions which you need to answer (with most appropriate option) keeping above facts in backdrop of your mind.",Which of following statements is/ are incorrect regarding Sara Fashions? i. Sara Fashions competes on flexibility and agility instead of low cost leadership ii. Sara Fashions can further reduce their cost production by shifting production facility to labour intensive market/ economy,Only statement i,Only statement ii,Both of the statements,None of the statements,d,"Reason It is stated in fact of case that they employ approximately 3,000 workers in manufacturing operations in Spain at an average wage of 11.00 euros per hour, compared to an average wage of 0.80 euros per hour in Asia. Hence Sara competes on flexibility and agility instead of low cost and cheap labour. Further it is stated that Sara factories in Spain employ flexible manufacturing systems to allow for rapid changeover operations. Only 24% of all items are manufactured in Asia and Africa, while 50% are manufactured in Spain; and rest 26% in the rest of Europe; hence scope of reducing cost of production by shifting production facilities to labour intensive economies such as India, Asian and African countries."
2,5,"You recently joined Management Accounting department of a fashion retail brand â€˜ Paridhaan â€™ which is struggling with dipping margin and deficiencies issues in distribution network. In meeting with CEO and COO you explained to them that Supply Chain Management can be great help for Paridhaan to overcome the many of challenges that Paridhaan is currently facing. You explained them the case of Sara Fashions, how they manage their Supply Chain to create value. Sara Fashions is a well-known premium international clothing manufacturer and retailer based in Spain that was founded in the 1980s. Because of the collaborative relationship with customers and suppliers, Sara can complete the development and shipment of a new product to its stores in two to six weeks, which is faster than the industry average of six months. Sara sells their clothing through its own retail outlets. One of the most significant benefits of Sara's supply chain strategy is its ability to respond quickly to all fashion trends and provide customers with the latest fashion outfits in two weeks in case of existing items while 4-6 weeks in case of new items. Secondly, Sara never produces in large quantities, so if the style does not sell as well as expected, Sara does not suffer as much loss because there is not much stock to discount. Thirdly, the advantages of a vertically integrated and shortened supply chain are obvious. Sara's advertising cost is only 0.3% of its revenue, whereas similar fashion retailers typically spend 3% on advertising and marketing. The high frequency of shifts in displayed merchandise (about three-quarters of them are changed every three weeks) allows for consistent customer visits. The main disadvantage of Sara's supply chain is that because Sara owns all of the supply chain channels, it is difficult to expand to distant locations because it is very expensive to distribute such products. Sara factories in Spain employ flexible manufacturing systems to allow for rapid changeover operations. Only 24% of all items are manufactured in Asia and Africa, while 50% are manufactured in Spain; and rest 26% in the rest of Europe. Sara's factories can quickly increase and decrease production rates, resulting in less inventory in the supply chain and less need for working capital to finance that inventory. They only do 50 to 60% of their manufacturing in advance, compared to competitors' 80 to 90%. Sara does not need to bet heavily on yearly fashion trends. They can place numerous smaller bets on short-term trends that are easier to predict. They employ approximately 3,000 workers in manufacturing operations in Spain at an average wage of 11.00 euros per hour, compared to an average wage of 0.80 euros per hour in Asia. COO pointed that there are two flows that majorly we need to manage at Paridhaan ; the physical flow of material and exchange of information. Since many of terms and points are new for them hence, they shower you back with questions which you need to answer (with most appropriate option) keeping above facts in backdrop of your mind.",Which of following statements is/ are correct regarding cycle-time and turnover ratios of Sara Fashions? i. Stores of Sara Fashions expected to have lower inventory turnover ratio than the stores of other retail readymade clothing brands ii. Cycle time is lower in case of Sara Fashions than its peer group,Only statement i,Only statement ii,Both of the statements,None of the statements,b,Reason Since Sara Fashions keep low inventory level low and produce in small lots according to latest fashions and customersâ€™ needs hence Stores of Sara Fashions have higher inventory turnover ratio than the stores of other retail readymade clothing brands. Sara Fashions took only 2-6 weeks to reach back to customers with their product that meet their requirements/ expectations hence in comparison to average of 6 months for peer group hence cycle time is lower in case of Sara Fashions.
