Case_Study_ID,Question_ID,Scenario_Text,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Option,Reasoning
1,1,"The following details pertain to Mr. Arvind and his three brothers, Mr. Arjun, Mr. Anand and Mr. Aakash. Mr. Arvind, Mr. Arjun and Mr. Anand are engaged in retail trade business. Mr. Aakash is engaged in the profession of interior decoration. All of them maintain books of account under section 44AA. While the brothers engaged in retail trade business follows mercantile system of accounting, Mr. Aakash engaged in interior decoration profession follows cash system of accounting. The details pertaining to their business for the year ending 31.3.2026 are as under – Particulars Arvind Arjun Anand (i) Turnover of P.Y.2025-26 ` 95 lakhs ` 2.80 crore ` 5.00 crore (ii) Amount received in cash [out of (i) above] ` 5 lakh ` 8 lakh ` 4 lakh (iii) Amount received through NEFT/RTGS on or before 31.7.2026 [out of (i) above] ` 85 lakh ` 2.65 crore ` 4.80 crore (iv) Total receipts in the P.Y.2025-26 ` 1.07 crore ` 3.00 crore ` 5.50 crore (v) Cash receipts [out of (iv) above] ` 7 lakh ` 10 lakhs ` 27 lakhs (vi) Total payments in the P.Y. 2025-26 ` 80 lakhs ` 1.60 crore ` 4.50 crore (vii) Cash payments [out of (vi) above] ` 5 lakhs ` 8.10 lakhs ` 22 lakhs (viii) Profits and gains as per books of account u/s 44AA ` 5.90 lakhs ` 15.50 lakhs ` 30 lakhs Mr. Aakash’s gross receipts for P.Y.2025-26 are ` 52 lakhs, out of which ` 2 lakhs has been received in cash and the remaining ` 50 lakhs through NEFT/RTGS. His profits as per books of account u/s 44AA for P.Y.2025-26 are ` 26.75 lakhs.","Which of the following individuals are eligible to declare income on presumptive basis under the provisions of the Income-tax Act, 1961 for A.Y.2026-27?",Mr. Arvind and Mr. Aakash,"Mr. Arvind, Mr. Arjun, Mr. Anand and Mr. Aakash","Mr. Arvind, Mr. Arjun and Mr. Aakash",Mr. Arvind and Mr. Arjun,C,"Mr. Arvind is eligible to declare income on presumptive basis as his turnover is less than ` 1 crore. Mr. Arjun is eligible to declare income on presumptive basis since in his case, threshold limit of ` 3 crore is applicable as the aggregate amount received during the previous year in cash, does not exceed 5% of the total turnover. Mr. Aakash is eligible to declare income on presumptive basis since threshold limit ` 75 lakhs is applicable to him as the aggregate amount received during the previous year in cash, does not exceed 5% of the total gross receipts."
1,2,"The following details pertain to Mr. Arvind and his three brothers, Mr. Arjun, Mr. Anand and Mr. Aakash. Mr. Arvind, Mr. Arjun and Mr. Anand are engaged in retail trade business. Mr. Aakash is engaged in the profession of interior decoration. All of them maintain books of account under section 44AA. While the brothers engaged in retail trade business follows mercantile system of accounting, Mr. Aakash engaged in interior decoration profession follows cash system of accounting. The details pertaining to their business for the year ending 31.3.2026 are as under – Particulars Arvind Arjun Anand (i) Turnover of P.Y.2025-26 ` 95 lakhs ` 2.80 crore ` 5.00 crore (ii) Amount received in cash [out of (i) above] ` 5 lakh ` 8 lakh ` 4 lakh (iii) Amount received through NEFT/RTGS on or before 31.7.2026 [out of (i) above] ` 85 lakh ` 2.65 crore ` 4.80 crore (iv) Total receipts in the P.Y.2025-26 ` 1.07 crore ` 3.00 crore ` 5.50 crore (v) Cash receipts [out of (iv) above] ` 7 lakh ` 10 lakhs ` 27 lakhs (vi) Total payments in the P.Y. 2025-26 ` 80 lakhs ` 1.60 crore ` 4.50 crore (vii) Cash payments [out of (vi) above] ` 5 lakhs ` 8.10 lakhs ` 22 lakhs (viii) Profits and gains as per books of account u/s 44AA ` 5.90 lakhs ` 15.50 lakhs ` 30 lakhs Mr. Aakash’s gross receipts for P.Y.2025-26 are ` 52 lakhs, out of which ` 2 lakhs has been received in cash and the remaining ` 50 lakhs through NEFT/RTGS. His profits as per books of account u/s 44AA for P.Y.2025-26 are ` 26.75 lakhs.",Which of the following individuals have to mandatorily get their books of account audited under section 44AB for A.Y.2026-27?,Mr. Arjun and Mr. Anand,Mr. Arjun and Mr. Arvind,Only Mr. Anand,None of them,D,"Mr. Anand is not liable for tax audit since threshold limit of ` 10 crores is applicable in his case since cash receipts and cash payments do not exceed 5% of aggregate of all receipts and all payments, respectively. Mr. Arvind, Mr. Arjun and Mr. Aakash may opt for presumptive taxation provisions, hence, not liable for tax audit."
1,3,"The following details pertain to Mr. Arvind and his three brothers, Mr. Arjun, Mr. Anand and Mr. Aakash. Mr. Arvind, Mr. Arjun and Mr. Anand are engaged in retail trade business. Mr. Aakash is engaged in the profession of interior decoration. All of them maintain books of account under section 44AA. While the brothers engaged in retail trade business follows mercantile system of accounting, Mr. Aakash engaged in interior decoration profession follows cash system of accounting. The details pertaining to their business for the year ending 31.3.2026 are as under – Particulars Arvind Arjun Anand (i) Turnover of P.Y.2025-26 ` 95 lakhs ` 2.80 crore ` 5.00 crore (ii) Amount received in cash [out of (i) above] ` 5 lakh ` 8 lakh ` 4 lakh (iii) Amount received through NEFT/RTGS on or before 31.7.2026 [out of (i) above] ` 85 lakh ` 2.65 crore ` 4.80 crore (iv) Total receipts in the P.Y.2025-26 ` 1.07 crore ` 3.00 crore ` 5.50 crore (v) Cash receipts [out of (iv) above] ` 7 lakh ` 10 lakhs ` 27 lakhs (vi) Total payments in the P.Y. 2025-26 ` 80 lakhs ` 1.60 crore ` 4.50 crore (vii) Cash payments [out of (vi) above] ` 5 lakhs ` 8.10 lakhs ` 22 lakhs (viii) Profits and gains as per books of account u/s 44AA ` 5.90 lakhs ` 15.50 lakhs ` 30 lakhs Mr. Aakash’s gross receipts for P.Y.2025-26 are ` 52 lakhs, out of which ` 2 lakhs has been received in cash and the remaining ` 50 lakhs through NEFT/RTGS. His profits as per books of account u/s 44AA for P.Y.2025-26 are ` 26.75 lakhs.","What is the amount of profits and gains of business chargeable to tax in the hands of Mr. Arvind, Mr. Arjun and Mr. Anand, assuming that they wish to make maximum tax savings without getting their books of account audited?","` 5.50 lakhs, ` 16.54 lakhs and ` 29.12 lakhs, respectively","` 5.90 lakhs, ` 17.10 lakhs and ` 30.40 lakhs, respectively","` 5.90 lakhs, ` 17.10 lakhs and ` 30 lakhs, respectively","` 5.50 lakhs, ` 15.50 lakhs and ` 30 lakhs, respectively.",C,"Mr. Arvind = 6% of ` 85 lakhs + 8% of ` 10 lakhs Mr. Arjun = 6% of ` 2.65 crore + 8% of ` 15 lakhs Mr. Anand = ` 30 lakhs, as per the books of account, as he is not eligible for presumptive taxation provisions."
1,4,"The following details pertain to Mr. Arvind and his three brothers, Mr. Arjun, Mr. Anand and Mr. Aakash. Mr. Arvind, Mr. Arjun and Mr. Anand are engaged in retail trade business. Mr. Aakash is engaged in the profession of interior decoration. All of them maintain books of account under section 44AA. While the brothers engaged in retail trade business follows mercantile system of accounting, Mr. Aakash engaged in interior decoration profession follows cash system of accounting. The details pertaining to their business for the year ending 31.3.2026 are as under – Particulars Arvind Arjun Anand (i) Turnover of P.Y.2025-26 ` 95 lakhs ` 2.80 crore ` 5.00 crore (ii) Amount received in cash [out of (i) above] ` 5 lakh ` 8 lakh ` 4 lakh (iii) Amount received through NEFT/RTGS on or before 31.7.2026 [out of (i) above] ` 85 lakh ` 2.65 crore ` 4.80 crore (iv) Total receipts in the P.Y.2025-26 ` 1.07 crore ` 3.00 crore ` 5.50 crore (v) Cash receipts [out of (iv) above] ` 7 lakh ` 10 lakhs ` 27 lakhs (vi) Total payments in the P.Y. 2025-26 ` 80 lakhs ` 1.60 crore ` 4.50 crore (vii) Cash payments [out of (vi) above] ` 5 lakhs ` 8.10 lakhs ` 22 lakhs (viii) Profits and gains as per books of account u/s 44AA ` 5.90 lakhs ` 15.50 lakhs ` 30 lakhs Mr. Aakash’s gross receipts for P.Y.2025-26 are ` 52 lakhs, out of which ` 2 lakhs has been received in cash and the remaining ` 50 lakhs through NEFT/RTGS. His profits as per books of account u/s 44AA for P.Y.2025-26 are ` 26.75 lakhs.","Would your answer to MCQ 3 (i.e., the profits and gains of business chargeable to tax in the hands of Mr. Arvind, Mr. Arjun and Mr. Anand) undergo a change, if they decide to get their books of account audited?","The profits and gains of business chargeable to tax in the hands of Mr. Arjun and Mr. Anand would undergo a change; however, there would be no change in the case of Mr. Arvind.","The profits and gains of business chargeable to tax in the hands of Mr. Anand would undergo a change; however, there would be no change in the hands of Mr. Arvind and Mr. Arjun.","The profits and gains of business chargeable to tax in the hands of Mr. Arjun would undergo a change; however, there would be no change in the hands of Mr. Arvind and Mr. Anand.","The profits and gains of business chargeable to tax in the hands of Mr. Arvind and Mr. Arjun would undergo a change; however, there would be no change in the hands of Mr. Anand.",C,"In case of Mr. Arjun, the amount of profit as per the books of account is lower than profit computed on presumptive basis."
1,5,"The following details pertain to Mr. Arvind and his three brothers, Mr. Arjun, Mr. Anand and Mr. Aakash. Mr. Arvind, Mr. Arjun and Mr. Anand are engaged in retail trade business. Mr. Aakash is engaged in the profession of interior decoration. All of them maintain books of account under section 44AA. While the brothers engaged in retail trade business follows mercantile system of accounting, Mr. Aakash engaged in interior decoration profession follows cash system of accounting. The details pertaining to their business for the year ending 31.3.2026 are as under – Particulars Arvind Arjun Anand (i) Turnover of P.Y.2025-26 ` 95 lakhs ` 2.80 crore ` 5.00 crore (ii) Amount received in cash [out of (i) above] ` 5 lakh ` 8 lakh ` 4 lakh (iii) Amount received through NEFT/RTGS on or before 31.7.2026 [out of (i) above] ` 85 lakh ` 2.65 crore ` 4.80 crore (iv) Total receipts in the P.Y.2025-26 ` 1.07 crore ` 3.00 crore ` 5.50 crore (v) Cash receipts [out of (iv) above] ` 7 lakh ` 10 lakhs ` 27 lakhs (vi) Total payments in the P.Y. 2025-26 ` 80 lakhs ` 1.60 crore ` 4.50 crore (vii) Cash payments [out of (vi) above] ` 5 lakhs ` 8.10 lakhs ` 22 lakhs (viii) Profits and gains as per books of account u/s 44AA ` 5.90 lakhs ` 15.50 lakhs ` 30 lakhs Mr. Aakash’s gross receipts for P.Y.2025-26 are ` 52 lakhs, out of which ` 2 lakhs has been received in cash and the remaining ` 50 lakhs through NEFT/RTGS. His profits as per books of account u/s 44AA for P.Y.2025-26 are ` 26.75 lakhs.","What is the due date of filing of return of income of Mr. Arvind, Mr. Arjun, Mr. Anand and Mr. Aakash for A.Y.2026-27, if they wish to make maximum tax savings?","31st July, 2026 for all of them.","31st July, 2026 for Mr. Arvind and Mr. Aakash; and 31st October, 2025 for Mr. Arjun and Mr. Anand","31st July, 2026 for Mr. Arvind, Mr. Aakash and Mr. Arjun; and 31st October, 2026 for Mr. Anand","31st July, 2026 for Mr. Arvind, Mr. Aakash and Mr. Anand; and 31st October, 2026 for Mr. Arjun",D,"To make maximum savings, Mr. Arjun is required to get his books of account audited. Thus, due date of filing return of income, in his case, would be 31st October 2026."
2,1,"The following are the details relating to four resident entities, AB & Co., LM & Co., PQ & Co. and XY & Co. for the P.Y.2025-26 – Particulars AB & Co. (Firm) LM & Co. (Firm) PQ & Co. (LLP) XY & Co. (Firm) (1) Nature of business/ profession Retail trading Business of plying, hiring or leasing goods carriages Wholesale trading Interior decoration (2) System of accounting Mercantile Cash Mercantile Cash (3) Turnover/ Gross receipts ` 200 lakhs ` 101 lakhs ` 100 lakhs ` 50 lakhs (4) Amount received by way of RTGS/ NEFT in the P.Y. 2025-26 [included in (3) above] ` 150 lakhs ` 80 lakhs ` 70 lakhs ` 45 lakhs (5) Amount received by way of cash in the P.Y.2025- 26 [included in (3) above] ` 30 lakhs ` 21 lakhs ` 10 lakhs ` 5 lakhs (6) Amount received by way of RTGS/ NEFT between 01.04.2026 & 31.7.2026 ` 20 lakhs - ` 20 lakhs - (7) Working partners’ salary ` 5 lakhs ` 1.50 lakhs ` 3 lakhs ` 5 lakhs (8) Interest on capital@12% to partners ` 1 lakh ` 0.50 lakh - ` 2 lakhs (9) Profit as per books of account maintained as per section 44AA [after deducting working partners’ salary and interest on capital] ` 5.60 lakhs ` 4.10 lakhs ` 4.50 lakhs ` 20 lakhs (10) No. of vehicles owned - 10 (See Note 2 below for details) - - Additional information: (1) It may be assumed that partners’ salary and interest are authorized by the partnership deed, relates to a period after the partnership deed and is within the permissible limits laid down under section 40(b). (2) The details of vehicles owned by M/s. LM & Co. are as follows – Gross Vehicle Weight (in kgs) Number Date of purchase Date when first put to use (1) 8,000 3 28.5.2025 1.6.2025 (2) 9,000 2 31.7.2025 1.8.2025 (3) 10,000 1 17.8.2025 20.8.2025 (4) 11,000 1 30.9.2025 1.10.2025 (5) 12,000 1 11.11.2025 13.11.2025 (6) 13,000 2 31.12.2025 1.1.2026","Which of the four entities are eligible to declare income on presumptive basis under the Income-tax Act, 1961 for A.Y.2026-27?",Only AB & Co and LM & Co.,Only AB & Co and XY & Co.,"AB & Co, PQ & Co and XY & Co.","AB & Co, LM & Co and XY & Co.",D,"As PQ & Co. is an LLP, it is not eligible for presumptive taxation provisions. Other entities are satisfying the provisions of presumptive taxation."
2,2,"The following are the details relating to four resident entities, AB & Co., LM & Co., PQ & Co. and XY & Co. for the P.Y.2025-26 – Particulars AB & Co. (Firm) LM & Co. (Firm) PQ & Co. (LLP) XY & Co. (Firm) (1) Nature of business/ profession Retail trading Business of plying, hiring or leasing goods carriages Wholesale trading Interior decoration (2) System of accounting Mercantile Cash Mercantile Cash (3) Turnover/ Gross receipts ` 200 lakhs ` 101 lakhs ` 100 lakhs ` 50 lakhs (4) Amount received by way of RTGS/ NEFT in the P.Y. 2025-26 [included in (3) above] ` 150 lakhs ` 80 lakhs ` 70 lakhs ` 45 lakhs (5) Amount received by way of cash in the P.Y.2025- 26 [included in (3) above] ` 30 lakhs ` 21 lakhs ` 10 lakhs ` 5 lakhs (6) Amount received by way of RTGS/ NEFT between 01.04.2026 & 31.7.2026 ` 20 lakhs - ` 20 lakhs - (7) Working partners’ salary ` 5 lakhs ` 1.50 lakhs ` 3 lakhs ` 5 lakhs (8) Interest on capital@12% to partners ` 1 lakh ` 0.50 lakh - ` 2 lakhs (9) Profit as per books of account maintained as per section 44AA [after deducting working partners’ salary and interest on capital] ` 5.60 lakhs ` 4.10 lakhs ` 4.50 lakhs ` 20 lakhs (10) No. of vehicles owned - 10 (See Note 2 below for details) - - Additional information: (1) It may be assumed that partners’ salary and interest are authorized by the partnership deed, relates to a period after the partnership deed and is within the permissible limits laid down under section 40(b). (2) The details of vehicles owned by M/s. LM & Co. are as follows – Gross Vehicle Weight (in kgs) Number Date of purchase Date when first put to use (1) 8,000 3 28.5.2025 1.6.2025 (2) 9,000 2 31.7.2025 1.8.2025 (3) 10,000 1 17.8.2025 20.8.2025 (4) 11,000 1 30.9.2025 1.10.2025 (5) 12,000 1 11.11.2025 13.11.2025 (6) 13,000 2 31.12.2025 1.1.2026","What is the business income to be declared by AB & Co. and PQ & Co. for A.Y.2026-27, assuming that the entities wish to make maximum tax savings without getting their books of account audited?","` 12.60 lakhs and ` 4.50 lakhs, respectively","` 6.60 lakhs and ` 3.20 lakhs, respectively","` 5.60 lakhs and ` 4.50 lakhs, respectively","` 13 lakhs and ` 6.60 lakhs, respectively",A,"AB & Co. = 6% of ` 1.70 crore + 8% of ` 0.30 crore PQ & Co. = ` 4.50 lakhs, being profits as per books of accounts"
2,3,"The following are the details relating to four resident entities, AB & Co., LM & Co., PQ & Co. and XY & Co. for the P.Y.2025-26 – Particulars AB & Co. (Firm) LM & Co. (Firm) PQ & Co. (LLP) XY & Co. (Firm) (1) Nature of business/ profession Retail trading Business of plying, hiring or leasing goods carriages Wholesale trading Interior decoration (2) System of accounting Mercantile Cash Mercantile Cash (3) Turnover/ Gross receipts ` 200 lakhs ` 101 lakhs ` 100 lakhs ` 50 lakhs (4) Amount received by way of RTGS/ NEFT in the P.Y. 2025-26 [included in (3) above] ` 150 lakhs ` 80 lakhs ` 70 lakhs ` 45 lakhs (5) Amount received by way of cash in the P.Y.2025- 26 [included in (3) above] ` 30 lakhs ` 21 lakhs ` 10 lakhs ` 5 lakhs (6) Amount received by way of RTGS/ NEFT between 01.04.2026 & 31.7.2026 ` 20 lakhs - ` 20 lakhs - (7) Working partners’ salary ` 5 lakhs ` 1.50 lakhs ` 3 lakhs ` 5 lakhs (8) Interest on capital@12% to partners ` 1 lakh ` 0.50 lakh - ` 2 lakhs (9) Profit as per books of account maintained as per section 44AA [after deducting working partners’ salary and interest on capital] ` 5.60 lakhs ` 4.10 lakhs ` 4.50 lakhs ` 20 lakhs (10) No. of vehicles owned - 10 (See Note 2 below for details) - - Additional information: (1) It may be assumed that partners’ salary and interest are authorized by the partnership deed, relates to a period after the partnership deed and is within the permissible limits laid down under section 40(b). (2) The details of vehicles owned by M/s. LM & Co. are as follows – Gross Vehicle Weight (in kgs) Number Date of purchase Date when first put to use (1) 8,000 3 28.5.2025 1.6.2025 (2) 9,000 2 31.7.2025 1.8.2025 (3) 10,000 1 17.8.2025 20.8.2025 (4) 11,000 1 30.9.2025 1.10.2025 (5) 12,000 1 11.11.2025 13.11.2025 (6) 13,000 2 31.12.2025 1.1.2026","What is the business income to be declared by LM & Co. for A.Y.2026-27, assuming that the firm wishes to make maximum tax savings without getting its books of account audited?","` 4,48,000","` 6,36,500","` 4,36,500","` 4,10,000",C,"` 6,36,500 [For heavy goods vehicle = ` 1,000/ton x 13 x 4 x 2 + For Other = ` 7,500/month x [(3x11) + (9x2) + (1x8) + (1x7) + (1x5)] less ` 1.5 lakhs, being remuneration to partners and ` 0.5 lakhs, being interest on capital"
2,4,"The following are the details relating to four resident entities, AB & Co., LM & Co., PQ & Co. and XY & Co. for the P.Y.2025-26 – Particulars AB & Co. (Firm) LM & Co. (Firm) PQ & Co. (LLP) XY & Co. (Firm) (1) Nature of business/ profession Retail trading Business of plying, hiring or leasing goods carriages Wholesale trading Interior decoration (2) System of accounting Mercantile Cash Mercantile Cash (3) Turnover/ Gross receipts ` 200 lakhs ` 101 lakhs ` 100 lakhs ` 50 lakhs (4) Amount received by way of RTGS/ NEFT in the P.Y. 2025-26 [included in (3) above] ` 150 lakhs ` 80 lakhs ` 70 lakhs ` 45 lakhs (5) Amount received by way of cash in the P.Y.2025- 26 [included in (3) above] ` 30 lakhs ` 21 lakhs ` 10 lakhs ` 5 lakhs (6) Amount received by way of RTGS/ NEFT between 01.04.2026 & 31.7.2026 ` 20 lakhs - ` 20 lakhs - (7) Working partners’ salary ` 5 lakhs ` 1.50 lakhs ` 3 lakhs ` 5 lakhs (8) Interest on capital@12% to partners ` 1 lakh ` 0.50 lakh - ` 2 lakhs (9) Profit as per books of account maintained as per section 44AA [after deducting working partners’ salary and interest on capital] ` 5.60 lakhs ` 4.10 lakhs ` 4.50 lakhs ` 20 lakhs (10) No. of vehicles owned - 10 (See Note 2 below for details) - - Additional information: (1) It may be assumed that partners’ salary and interest are authorized by the partnership deed, relates to a period after the partnership deed and is within the permissible limits laid down under section 40(b). (2) The details of vehicles owned by M/s. LM & Co. are as follows – Gross Vehicle Weight (in kgs) Number Date of purchase Date when first put to use (1) 8,000 3 28.5.2025 1.6.2025 (2) 9,000 2 31.7.2025 1.8.2025 (3) 10,000 1 17.8.2025 20.8.2025 (4) 11,000 1 30.9.2025 1.10.2025 (5) 12,000 1 11.11.2025 13.11.2025 (6) 13,000 2 31.12.2025 1.1.2026","What is the income to be declared by XY & Co. under the head “Profits and gains of business or profession” for A.Y.2026-27, assuming that the firm wishes to make maximum tax savings, without getting its books of account audited?",` 18 lakhs,` 20 lakhs,` 25 lakhs,` 22.50 lakhs,C,"` 25 lakhs, being 50% of ` 50 lakhs"
2,5,"The following are the details relating to four resident entities, AB & Co., LM & Co., PQ & Co. and XY & Co. for the P.Y.2025-26 – Particulars AB & Co. (Firm) LM & Co. (Firm) PQ & Co. (LLP) XY & Co. (Firm) (1) Nature of business/ profession Retail trading Business of plying, hiring or leasing goods carriages Wholesale trading Interior decoration (2) System of accounting Mercantile Cash Mercantile Cash (3) Turnover/ Gross receipts ` 200 lakhs ` 101 lakhs ` 100 lakhs ` 50 lakhs (4) Amount received by way of RTGS/ NEFT in the P.Y. 2025-26 [included in (3) above] ` 150 lakhs ` 80 lakhs ` 70 lakhs ` 45 lakhs (5) Amount received by way of cash in the P.Y.2025- 26 [included in (3) above] ` 30 lakhs ` 21 lakhs ` 10 lakhs ` 5 lakhs (6) Amount received by way of RTGS/ NEFT between 01.04.2026 & 31.7.2026 ` 20 lakhs - ` 20 lakhs - (7) Working partners’ salary ` 5 lakhs ` 1.50 lakhs ` 3 lakhs ` 5 lakhs (8) Interest on capital@12% to partners ` 1 lakh ` 0.50 lakh - ` 2 lakhs (9) Profit as per books of account maintained as per section 44AA [after deducting working partners’ salary and interest on capital] ` 5.60 lakhs ` 4.10 lakhs ` 4.50 lakhs ` 20 lakhs (10) No. of vehicles owned - 10 (See Note 2 below for details) - - Additional information: (1) It may be assumed that partners’ salary and interest are authorized by the partnership deed, relates to a period after the partnership deed and is within the permissible limits laid down under section 40(b). (2) The details of vehicles owned by M/s. LM & Co. are as follows – Gross Vehicle Weight (in kgs) Number Date of purchase Date when first put to use (1) 8,000 3 28.5.2025 1.6.2025 (2) 9,000 2 31.7.2025 1.8.2025 (3) 10,000 1 17.8.2025 20.8.2025 (4) 11,000 1 30.9.2025 1.10.2025 (5) 12,000 1 11.11.2025 13.11.2025 (6) 13,000 2 31.12.2025 1.1.2026","Would your answer to MCQ 3 and 4 change, if the firms decide to get their books of account audited?","No, there would be no change in the answer to either MCQ 3 and 4","Yes, there would be change in the answer to both MCQ and 4",There would be a change in the answer to MCQ 3 but not in the answer to MCQ 4,There would be a change in the answer to MCQ 4 but not in the answer to MCQ 3,B,Business income computed as per books of account is lower than the profits computed as per presumptive provisions for both LM & Co. and XY & Co.
