Case_Study_ID,Question_ID,Scenario_Text,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Option,Reasoning,Chapter/Unit_Name
1,1,N/A - Module 1 PDF,What is the primary focus of forensic accounting?,Preparing financial statements,Examining accounting records for potential financial crimes,Tax planning for individuals,Auditing internal controls,b,"Forensic accounting involves investigating accounting records to detect financial crimes, such as fraud or tax evasion, as described in Chapter 1.",Unit 1: Forensic Accounting and Fraud Detection
1,2,N/A - Module 1 PDF,How does a forensic accountant differ from a traditional auditor?,"A forensic accountant acts as a watchdog, while an auditor acts as a bloodhound","A forensic accountant is more investigative, acting like a bloodhound",A forensic accountant focuses only on tax compliance,A forensic accountant avoids financial data analysis,b,"Chapter 1 explains that forensic accountants adopt a proactive, investigative approach, likened to a bloodhound, unlike auditors who are more like watchdogs.",Unit 1: Forensic Accounting and Fraud Detection
1,3,N/A - Module 1 PDF,Which theory is commonly used to detect unreported income in forensic accounting?,Cash Flow Theory,Net Worth Theory,Profit Margin Theory,Balance Sheet Theory,b,"The Net Worth Theory, discussed in Chapter 1, is used to trace unreported income by comparing changes in net worth and personal expenses.",Unit 1: Forensic Accounting and Fraud Detection
1,4,N/A - Module 1 PDF,"In the Net Worth Theory, what is added to the change in net worth to calculate gross income?",Business expenses,Personal expenditure and family spending,Tax payments,Depreciation costs,b,"As per Chapter 1, personal expenditure and family spending are added to the change in net worth to determine gross income.",Unit 1: Forensic Accounting and Fraud Detection
1,5,N/A - Module 1 PDF,What adjustment is made if cash is hoarded in the Net Worth Theory?,It is added to gross income,It is subtracted from gross income,It is ignored,It is multiplied by the tax rate,b,Chapter 1 states that hoarded cash is reduced from gross income to arrive at the correct gross income figure.,Unit 1: Forensic Accounting and Fraud Detection
1,6,N/A - Module 1 PDF,When is the Expenditure Theory most suitable for investigation?,When complete books of accounts are available,When no books of accounts are maintained,When tax returns are fully accurate,When assets are fully disclosed,b,"The Expenditure Theory is used when books are unavailable, inadequate, or withheld, as noted in Chapter 1.",Unit 1: Forensic Accounting and Fraud Detection
1,7,N/A - Module 1 PDF,What does the Expenditure Theory compare to identify unreported income?,Total assets to total liabilities,Total cash uses to total income,Total revenue to total expenses,Total investments to total dividends,b,Chapter 1 explains that the Expenditure Theory compares total cash uses to total income to detect undisclosed income.,Unit 1: Forensic Accounting and Fraud Detection
1,8,N/A - Module 1 PDF,Which of the following is NOT considered in the Expenditure Theory?,Cash in hand,Credit card balances,Depreciation and amortization,Inventory balances,c,Chapter 1 notes that depreciation and amortization are not recognized in the Expenditure Theory as they do not involve cash flow.,Unit 1: Forensic Accounting and Fraud Detection
1,9,N/A - Module 1 PDF,What does the investigation using financial data primarily involve?,Analyzing personal relationships,Searching premises and public records,Conducting psychological assessments,Reviewing employee performance,b,"Chapter 1 describes investigation using financial data as involving searches of premises, public records, and financial statements.",Unit 1: Forensic Accounting and Fraud Detection
1,10,N/A - Module 1 PDF,Which of the following is a key source for investigation using financial data?,Social media profiles,Credit card statements,Employee attendance records,Marketing reports,b,"Credit card statements are analyzed for spending patterns and hidden assets, as per Chapter 1.",Unit 1: Forensic Accounting and Fraud Detection
