Case_Study_ID,Question_ID,Scenario_Text,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Option,Reasoning,Chapter/Unit_Name
1,1,"MINSAN Ltd., an unlisted company in South India, is engaged in the business of spice oil extraction. Total paid up capital of the company is ` 9 crore. Details of the annual turnover and profit of the company for the last 3 years are given below: Year ended Turnover ( ` in crore) Profit (loss) before tax ( ` in crore) 31 - 03 - 2022 31 - 03 - 2023 31 - 03 - 2024 527.21 (Audited) 301.37 (Audited) 104.13 (provisional) 50.16 01.25 (10.25) The company is using conventional methods for extraction of oil from spices. This requires more human intervention and hence, the cost of production is high as compared to innovative method used by other new companies. Though the company had significant gr owth in the past years, it has not done well over the last two financial years due to competition. A new competitor viz, Natural Extracts Ltd, had come in the market during the year 2022 and by the end of March, 2023, they captured around 75% of market share by offering the product at a reduced price. They use new machinery which allows a whole range of automated extraction method, thus, minimizing manual steps and reducing cost of labour. In order to reduce cost of production and thereby re - capture the market, the management of MINSAN Ltd. has planned to erect a new plant with an automatic machine. The estimated cost of plant & machinery is ` 90 lakh. The company approached SA Bank Ltd. for a term loan of ` 80 lakh which would be repaid in 5 years. On 28 - 12 - 2023, the bank had sanctioned the loan and disbursed ` 40 lakh till 31st March, 2024. MINSAN Ltd. has appointed M/s Check & Check, Chartered Accountants, as auditors of the company at its AGM held on 18 - 09 - 2023 for a period of 5 years. As agreed, the audit team commenced their audit work for the year 2023 - 24 in February, 2024 and completed the work by the end of May, 2024. The audit team submitted the following findings to the engagement partner: ➢ PX Ltd., one of the material suppliers, filed a case against the company on 12 - 09 - 2023 for a compensation of ` 3 crore. ➢ The C ompany has made an estimate for allowance of debtors @5%. ➢ 70% of the value of inventory was only covered in physical verification during the year 2022 - 23 due to restriction on movement posed by the State Government . ➢ Company got a show cause notice from the State Pollution Control Board for the contravention of the provisions of Hazardous and Waste Management Rule. ➢ Three incidences of fraud noticed (total ` 1.02 crore) - fraud committed by the Purchase M anager ` 85 lakh, by Accounts M anager ` 15 lakh and by a C ashier ` 2 lakh. Based on the above facts, answer the following MCQs:","1 . Though the company had significant growth in the past years, it has not done well over the last two financial years. As per SA 570, there are certain events or conditions that individually or collectively may cast significant doubt about the going concern assumptions. In order to assess whether MINSAN Ltd is a going concern or not, which of the following audit procedures should NOT be performed?",Analysis and discussion with the management of the company to find out whether installation of new plant and machinery would enable the company to reduce the cost of production. ,"Inquire the company’s legal counsel regarding existence of legal litigation and claim against the company, reasonableness of management assessments of their outcome and estimate of their financial implication. ",Evaluating management’s future plan and strategy to increase the market share of the product. ,Analysis and discuss the company’s cash flow and profit of the previous years with the projected accounts.,d,"Reason As per SA 570 , t he procedure, ‘Analysis and discuss the company’s cash flow and profit of the previous years with the projected accounts’ is not related to assessing whether an entity is a going concern. All other options are audit procedures to be performed .",
1,2,"MINSAN Ltd., an unlisted company in South India, is engaged in the business of spice oil extraction. Total paid up capital of the company is ` 9 crore. Details of the annual turnover and profit of the company for the last 3 years are given below: Year ended Turnover ( ` in crore) Profit (loss) before tax ( ` in crore) 31 - 03 - 2022 31 - 03 - 2023 31 - 03 - 2024 527.21 (Audited) 301.37 (Audited) 104.13 (provisional) 50.16 01.25 (10.25) The company is using conventional methods for extraction of oil from spices. This requires more human intervention and hence, the cost of production is high as compared to innovative method used by other new companies. Though the company had significant gr owth in the past years, it has not done well over the last two financial years due to competition. A new competitor viz, Natural Extracts Ltd, had come in the market during the year 2022 and by the end of March, 2023, they captured around 75% of market share by offering the product at a reduced price. They use new machinery which allows a whole range of automated extraction method, thus, minimizing manual steps and reducing cost of labour. In order to reduce cost of production and thereby re - capture the market, the management of MINSAN Ltd. has planned to erect a new plant with an automatic machine. The estimated cost of plant & machinery is ` 90 lakh. The company approached SA Bank Ltd. for a term loan of ` 80 lakh which would be repaid in 5 years. On 28 - 12 - 2023, the bank had sanctioned the loan and disbursed ` 40 lakh till 31st March, 2024. MINSAN Ltd. has appointed M/s Check & Check, Chartered Accountants, as auditors of the company at its AGM held on 18 - 09 - 2023 for a period of 5 years. As agreed, the audit team commenced their audit work for the year 2023 - 24 in February, 2024 and completed the work by the end of May, 2024. The audit team submitted the following findings to the engagement partner: ➢ PX Ltd., one of the material suppliers, filed a case against the company on 12 - 09 - 2023 for a compensation of ` 3 crore. ➢ The C ompany has made an estimate for allowance of debtors @5%. ➢ 70% of the value of inventory was only covered in physical verification during the year 2022 - 23 due to restriction on movement posed by the State Government . ➢ Company got a show cause notice from the State Pollution Control Board for the contravention of the provisions of Hazardous and Waste Management Rule. ➢ Three incidences of fraud noticed (total ` 1.02 crore) - fraud committed by the Purchase M anager ` 85 lakh, by Accounts M anager ` 15 lakh and by a C ashier ` 2 lakh. Based on the above facts, answer the following MCQs:","2 . Company has made an estimate for allowance of debtors @ 5%. Some financial statement items cannot be measured precisely but can only be estimated. The nature and reliability of information available to management to support the making of an accounting estimate varies widely, which thereby affects the degree of estimating uncertainty associated with accounting estimates. Please advise which among the following may have higher estimate uncertainty and higher risk as per SA 540?",Judgments about the outcome of pending litigation with PX Ltd. against the company. ,Estimates made for inventory obsolescence that are frequently made and updated. ,A model used to measure the accounting estimates is well known and the assumptions to the model are observable in the marketplace. ,Accounting estimate made for allowance for doubtful debts where the result of the auditors’ review of similar accounting estimates made in the prior period financial statements do not indicate any substantial difference between the original accounting esti mate and the actual outcome.,a,"Reason As per SA 540, ‘Judgments about the outcome of pending litigation’ is an example of accounting estimates that may have high estimation uncertainty. This uncertainty stems from several factors inherent in the legal process, including the complexity of the case, the nuances of the applicable laws, and the variability in judicial interpretations.",
1,3,"MINSAN Ltd., an unlisted company in South India, is engaged in the business of spice oil extraction. Total paid up capital of the company is ` 9 crore. Details of the annual turnover and profit of the company for the last 3 years are given below: Year ended Turnover ( ` in crore) Profit (loss) before tax ( ` in crore) 31 - 03 - 2022 31 - 03 - 2023 31 - 03 - 2024 527.21 (Audited) 301.37 (Audited) 104.13 (provisional) 50.16 01.25 (10.25) The company is using conventional methods for extraction of oil from spices. This requires more human intervention and hence, the cost of production is high as compared to innovative method used by other new companies. Though the company had significant gr owth in the past years, it has not done well over the last two financial years due to competition. A new competitor viz, Natural Extracts Ltd, had come in the market during the year 2022 and by the end of March, 2023, they captured around 75% of market share by offering the product at a reduced price. They use new machinery which allows a whole range of automated extraction method, thus, minimizing manual steps and reducing cost of labour. In order to reduce cost of production and thereby re - capture the market, the management of MINSAN Ltd. has planned to erect a new plant with an automatic machine. The estimated cost of plant & machinery is ` 90 lakh. The company approached SA Bank Ltd. for a term loan of ` 80 lakh which would be repaid in 5 years. On 28 - 12 - 2023, the bank had sanctioned the loan and disbursed ` 40 lakh till 31st March, 2024. MINSAN Ltd. has appointed M/s Check & Check, Chartered Accountants, as auditors of the company at its AGM held on 18 - 09 - 2023 for a period of 5 years. As agreed, the audit team commenced their audit work for the year 2023 - 24 in February, 2024 and completed the work by the end of May, 2024. The audit team submitted the following findings to the engagement partner: ➢ PX Ltd., one of the material suppliers, filed a case against the company on 12 - 09 - 2023 for a compensation of ` 3 crore. ➢ The C ompany has made an estimate for allowance of debtors @5%. ➢ 70% of the value of inventory was only covered in physical verification during the year 2022 - 23 due to restriction on movement posed by the State Government . ➢ Company got a show cause notice from the State Pollution Control Board for the contravention of the provisions of Hazardous and Waste Management Rule. ➢ Three incidences of fraud noticed (total ` 1.02 crore) - fraud committed by the Purchase M anager ` 85 lakh, by Accounts M anager ` 15 lakh and by a C ashier ` 2 lakh. Based on the above facts, answer the following MCQs:","3 . The company in the notes accompanying its financial statements disclosed the existence of the suit filed against the company with full details. Based on the audit evidence obtained, it is necessary to draw user’s attention to the matter presented in the financial statement by way of clear additional communication as there is an uncertainty relating to the future outcome of the litigation. In this situation, which of the following reporting option would be correct if the auditor is satisfied with the conc lusions reached by the management and this matter is fundamental to the reader of financial statements?",Include an Emphasis of Matter paragraph in the Auditors report having a clear reference to the matter being emphasized and issue a qualified opinion. ,Include in the Basis for Adverse opinion paragraph and issue an adverse opinion having a clear reference to the matter referred to in the notes on accounts. ,Include in the Basis for Disclaimer of opinion paragraph having a clear reference to the matter and issue a disclaimer opinion. ,Include an Emphasis of Matter Paragraph in the Auditors report having a clear reference to the matter being emphasized and to where relevant disclosures that fully describe the matter can be found in the financial statement s .,d,"As per SA 706, if the auditor considers it necessary to draw users’ attention to a matter presented in the financial statement and the auditor would not be required to modify the opinion, he gives Emphasis of M atter paragraph with a clear reference to the matter being emphasized and to where relevant disclosures that fully describe the matter can be found in the financial statement.",
1,4,"MINSAN Ltd., an unlisted company in South India, is engaged in the business of spice oil extraction. Total paid up capital of the company is ` 9 crore. Details of the annual turnover and profit of the company for the last 3 years are given below: Year ended Turnover ( ` in crore) Profit (loss) before tax ( ` in crore) 31 - 03 - 2022 31 - 03 - 2023 31 - 03 - 2024 527.21 (Audited) 301.37 (Audited) 104.13 (provisional) 50.16 01.25 (10.25) The company is using conventional methods for extraction of oil from spices. This requires more human intervention and hence, the cost of production is high as compared to innovative method used by other new companies. Though the company had significant gr owth in the past years, it has not done well over the last two financial years due to competition. A new competitor viz, Natural Extracts Ltd, had come in the market during the year 2022 and by the end of March, 2023, they captured around 75% of market share by offering the product at a reduced price. They use new machinery which allows a whole range of automated extraction method, thus, minimizing manual steps and reducing cost of labour. In order to reduce cost of production and thereby re - capture the market, the management of MINSAN Ltd. has planned to erect a new plant with an automatic machine. The estimated cost of plant & machinery is ` 90 lakh. The company approached SA Bank Ltd. for a term loan of ` 80 lakh which would be repaid in 5 years. On 28 - 12 - 2023, the bank had sanctioned the loan and disbursed ` 40 lakh till 31st March, 2024. MINSAN Ltd. has appointed M/s Check & Check, Chartered Accountants, as auditors of the company at its AGM held on 18 - 09 - 2023 for a period of 5 years. As agreed, the audit team commenced their audit work for the year 2023 - 24 in February, 2024 and completed the work by the end of May, 2024. The audit team submitted the following findings to the engagement partner: ➢ PX Ltd., one of the material suppliers, filed a case against the company on 12 - 09 - 2023 for a compensation of ` 3 crore. ➢ The C ompany has made an estimate for allowance of debtors @5%. ➢ 70% of the value of inventory was only covered in physical verification during the year 2022 - 23 due to restriction on movement posed by the State Government . ➢ Company got a show cause notice from the State Pollution Control Board for the contravention of the provisions of Hazardous and Waste Management Rule. ➢ Three incidences of fraud noticed (total ` 1.02 crore) - fraud committed by the Purchase M anager ` 85 lakh, by Accounts M anager ` 15 lakh and by a C ashier ` 2 lakh. Based on the above facts, answer the following MCQs:","4 . Company got a show cause notice from State Pollution Control Board. As per SA 250, the auditor shall perform the audit procedures to help identify instances of non - compliance with other laws and regulations that may have a material effect on the financial statements. As the audit team of the company became aware of information concerning an instance of non - compliance with law, what would not be the audit procedure to be performed?",Understand the nature of the act and circumstances in which it has occurred and obtain further information to evaluate the possible effect on the financial statement. ,"Discuss the matter with management and if they do not provide sufficient information; and if the effect of non - compliance seems to be material, legal advice may be obtained. ",Monitoring legal requirements and compliance with code of conduct and ensuring that operating procedures are designed to assist in the prevention of non - compliance with law and regulation and report accordingly. ,Evaluate the implication of non - compliance in relation to other aspects of audit including risk assessment and reliability of written representation and take appropriate action.,c,"All other options are audit procedures when the auditor identify the non - compliance with laws and regulations. As per SA 250, option (c) is one of the policies and procedures an entity may implement to prevent and detect non - compliance with laws and regulations.",
1,5,"MINSAN Ltd., an unlisted company in South India, is engaged in the business of spice oil extraction. Total paid up capital of the company is ` 9 crore. Details of the annual turnover and profit of the company for the last 3 years are given below: Year ended Turnover ( ` in crore) Profit (loss) before tax ( ` in crore) 31 - 03 - 2022 31 - 03 - 2023 31 - 03 - 2024 527.21 (Audited) 301.37 (Audited) 104.13 (provisional) 50.16 01.25 (10.25) The company is using conventional methods for extraction of oil from spices. This requires more human intervention and hence, the cost of production is high as compared to innovative method used by other new companies. Though the company had significant gr owth in the past years, it has not done well over the last two financial years due to competition. A new competitor viz, Natural Extracts Ltd, had come in the market during the year 2022 and by the end of March, 2023, they captured around 75% of market share by offering the product at a reduced price. They use new machinery which allows a whole range of automated extraction method, thus, minimizing manual steps and reducing cost of labour. In order to reduce cost of production and thereby re - capture the market, the management of MINSAN Ltd. has planned to erect a new plant with an automatic machine. The estimated cost of plant & machinery is ` 90 lakh. The company approached SA Bank Ltd. for a term loan of ` 80 lakh which would be repaid in 5 years. On 28 - 12 - 2023, the bank had sanctioned the loan and disbursed ` 40 lakh till 31st March, 2024. MINSAN Ltd. has appointed M/s Check & Check, Chartered Accountants, as auditors of the company at its AGM held on 18 - 09 - 2023 for a period of 5 years. As agreed, the audit team commenced their audit work for the year 2023 - 24 in February, 2024 and completed the work by the end of May, 2024. The audit team submitted the following findings to the engagement partner: ➢ PX Ltd., one of the material suppliers, filed a case against the company on 12 - 09 - 2023 for a compensation of ` 3 crore. ➢ The C ompany has made an estimate for allowance of debtors @5%. ➢ 70% of the value of inventory was only covered in physical verification during the year 2022 - 23 due to restriction on movement posed by the State Government . ➢ Company got a show cause notice from the State Pollution Control Board for the contravention of the provisions of Hazardous and Waste Management Rule. ➢ Three incidences of fraud noticed (total ` 1.02 crore) - fraud committed by the Purchase M anager ` 85 lakh, by Accounts M anager ` 15 lakh and by a C ashier ` 2 lakh. Based on the above facts, answer the following MCQs:","5 . The company had availed some amount of loan for new plant and machinery during the year under audit. Out of the total loan sanctioned an amount of ` 25 lakh was earmarked for the purchase of the machinery - Oil Extractor , but the company has acquired an improved model of machinery, viz, Oil extractor with Dryer instead. State which of the reporting option would be correct.","( a) State the fact in the CARO report that out of term loan taken for machinery - Oil Extractor, ` 25 lakh was not utilized for acquiring the machinery for which it was sanctioned. ","Ask the management to change terms and condition of term loan as the company has acquired a different machinery. Report under CARO, if the management does not agree with the demand. ",State the fact in the CARO report that the term loan taken has been applied for the purpose for which it was sanctioned. ,State the fact in the CARO report that the term loan taken has not been applied for the purpose for which it was sanctioned. Also qualify the report as there are misstatements that are material but not pervasive.,c,"As per clause (ix) of Para 3 of CARO, 2020, the auditor is required to report that whether term loans were applied for the purpose for which the loans were obtained; if not, the amount of loans so diverted and the purpose for which it is use d.",
2,1,"XY & Associates, Chartered Accountants, have been appointed as auditors of ABC Enterprises, a company that obtained a license from the Central Government to promote cricket in rural areas of India. The company's average annual profit is estimated to be aro und ` 45 lakh. This profit would not be distributed as dividends to shareholders but is applied toward its objective of promoting sports in the country. During the audit for the financial year 2023 - 24, the following observations were made: • The company did not maintain proper records for its fixed assets, valued at approximately ` 1.80 crore . • Physical verification of the assets had not been conducted at regular intervals. The last verification occurred on 31 st August 2022 . Due to these observations, the auditors decided to report on the issues in the Companies (Auditor's Report) Order (CARO) . However, the management disagreed, arguing that the issues should not be reported. After discussions, XY & Associates ultimately decided not to report the issues. XY & Associates were also auditing QR Ltd. and ST Bank Ltd. During the audit of QR Ltd. , there was a difference of opinion between management and the auditors regarding which of the following areas should be considered ""Key Audit Matters"" (KAM) as per SA 701 : 1. The effect of significant transactions during the financial year on the audit. 2. Areas of high risk, as assessed and reported by the management's expert. 3. Significant auditor judgment related to financial areas that involved significant management judgment. During the audit of ST Bank Ltd. , a difference of opinion arose regarding the amount and items that should be disclosed under the head contingent liabilities. Additionally, the auditors made the following observations: • 59 agricultural loan accounts (guaranteed by the Government of Uttar Pradesh) amounting to ` 2 9 lakh were overdue for more than two years. • 73 agricultural loan accounts (guaranteed by the Government of India) amounting to ` 2 5 lakh were overdue for more than two years. • 6 corporate loan accounts (guaranteed three each by the Government of India and Government of Uttar Pradesh) amounting to ` 25 lakh each were overdue for more than three months and a half month. Due to their reputation for efficiency, XY & Associates were offered incorporation services for UV General Insurance Ltd., a new company proposed to be set up with a paid - up share capital of ` 1 13 crore, of which preliminary expenses of ` 1 7 crores were included. The audit firm, after considering all facts, decided not to take on either assignment. Based on the above facts, answer the following:","1 . Was the decision of XY & Associates not to report the issues of ABC Enterprises in CARO, 2020 justified? If so, under what reason?","No. CARO, 2020 is applicable to ABC Enterprises . H ence , the issues must be reported under clause (i) of CARO. ","Yes. CARO, 2020 is not applicable to ABC Enterprises , hence , the issues do not need to be reported. ","No. As per SA 240 , the auditor must maintain professional skepticism, especially concerning issues related to fixed assets, and the issues must be reported. ","Yes. As per SA 320 , the auditor may choose whether or not to report the issues after considering their materiality.",b,"Reason The CARO, 2020 specifically exempts a company licensed to operate under section 8 of the Companies Act , 2013 .",
2,2,"XY & Associates, Chartered Accountants, have been appointed as auditors of ABC Enterprises, a company that obtained a license from the Central Government to promote cricket in rural areas of India. The company's average annual profit is estimated to be aro und ` 45 lakh. This profit would not be distributed as dividends to shareholders but is applied toward its objective of promoting sports in the country. During the audit for the financial year 2023 - 24, the following observations were made: • The company did not maintain proper records for its fixed assets, valued at approximately ` 1.80 crore . • Physical verification of the assets had not been conducted at regular intervals. The last verification occurred on 31 st August 2022 . Due to these observations, the auditors decided to report on the issues in the Companies (Auditor's Report) Order (CARO) . However, the management disagreed, arguing that the issues should not be reported. After discussions, XY & Associates ultimately decided not to report the issues. XY & Associates were also auditing QR Ltd. and ST Bank Ltd. During the audit of QR Ltd. , there was a difference of opinion between management and the auditors regarding which of the following areas should be considered ""Key Audit Matters"" (KAM) as per SA 701 : 1. The effect of significant transactions during the financial year on the audit. 2. Areas of high risk, as assessed and reported by the management's expert. 3. Significant auditor judgment related to financial areas that involved significant management judgment. During the audit of ST Bank Ltd. , a difference of opinion arose regarding the amount and items that should be disclosed under the head contingent liabilities. Additionally, the auditors made the following observations: • 59 agricultural loan accounts (guaranteed by the Government of Uttar Pradesh) amounting to ` 2 9 lakh were overdue for more than two years. • 73 agricultural loan accounts (guaranteed by the Government of India) amounting to ` 2 5 lakh were overdue for more than two years. • 6 corporate loan accounts (guaranteed three each by the Government of India and Government of Uttar Pradesh) amounting to ` 25 lakh each were overdue for more than three months and a half month. Due to their reputation for efficiency, XY & Associates were offered incorporation services for UV General Insurance Ltd., a new company proposed to be set up with a paid - up share capital of ` 1 13 crore, of which preliminary expenses of ` 1 7 crores were included. The audit firm, after considering all facts, decided not to take on either assignment. Based on the above facts, answer the following:",2 . What is the total amount of loans that should be classified as NPA by ST Bank ?,` 79 lakh . ,` 100 lakh . ,` 204 lakh . ,` 104 lakh .,d,"Reason With respect to the circular issues by RBI on verification of provision for n on - performing assets, if government guaranteed advance becomes NPA, for the purpose of asset classification, credit facility backed by Central Government Guarantee, though overdue, need not be treated as NPA until the Central government repudiates its guar antee. This exception is not applicable for the State Government guarantee. Therefore, in this case all the loan accounts guaranteed by the Government of Delhi should be classifi ed as NPA. [Amount of NPA= 29 lakhs + (3 * 25 lakhs) = 104 lakhs.]",
2,3,"XY & Associates, Chartered Accountants, have been appointed as auditors of ABC Enterprises, a company that obtained a license from the Central Government to promote cricket in rural areas of India. The company's average annual profit is estimated to be aro und ` 45 lakh. This profit would not be distributed as dividends to shareholders but is applied toward its objective of promoting sports in the country. During the audit for the financial year 2023 - 24, the following observations were made: • The company did not maintain proper records for its fixed assets, valued at approximately ` 1.80 crore . • Physical verification of the assets had not been conducted at regular intervals. The last verification occurred on 31 st August 2022 . Due to these observations, the auditors decided to report on the issues in the Companies (Auditor's Report) Order (CARO) . However, the management disagreed, arguing that the issues should not be reported. After discussions, XY & Associates ultimately decided not to report the issues. XY & Associates were also auditing QR Ltd. and ST Bank Ltd. During the audit of QR Ltd. , there was a difference of opinion between management and the auditors regarding which of the following areas should be considered ""Key Audit Matters"" (KAM) as per SA 701 : 1. The effect of significant transactions during the financial year on the audit. 2. Areas of high risk, as assessed and reported by the management's expert. 3. Significant auditor judgment related to financial areas that involved significant management judgment. During the audit of ST Bank Ltd. , a difference of opinion arose regarding the amount and items that should be disclosed under the head contingent liabilities. Additionally, the auditors made the following observations: • 59 agricultural loan accounts (guaranteed by the Government of Uttar Pradesh) amounting to ` 2 9 lakh were overdue for more than two years. • 73 agricultural loan accounts (guaranteed by the Government of India) amounting to ` 2 5 lakh were overdue for more than two years. • 6 corporate loan accounts (guaranteed three each by the Government of India and Government of Uttar Pradesh) amounting to ` 25 lakh each were overdue for more than three months and a half month. Due to their reputation for efficiency, XY & Associates were offered incorporation services for UV General Insurance Ltd., a new company proposed to be set up with a paid - up share capital of ` 1 13 crore, of which preliminary expenses of ` 1 7 crores were included. The audit firm, after considering all facts, decided not to take on either assignment. Based on the above facts, answer the following:",3 . Which of the following must be reported as a contingent liability for ST Bank Ltd. ?,A percentage of the total bills purchased by ST Bank . ,Claims against the bank acknowledged as debt.,"Unpaid salaries of ` 6 lakh to six employees of ST Bank Ltd. , who are currently involved in a court trial. ",Guarantees given by ST Bank on behalf of constituents located in Nepal.,d,The items to be reported as contingent liability during a bank audit includes the Guarantee given on behalf of the constituent (within India / outside India) and Claims against the bank acknowledged as debt .,
2,4,"XY & Associates, Chartered Accountants, have been appointed as auditors of ABC Enterprises, a company that obtained a license from the Central Government to promote cricket in rural areas of India. The company's average annual profit is estimated to be aro und ` 45 lakh. This profit would not be distributed as dividends to shareholders but is applied toward its objective of promoting sports in the country. During the audit for the financial year 2023 - 24, the following observations were made: • The company did not maintain proper records for its fixed assets, valued at approximately ` 1.80 crore . • Physical verification of the assets had not been conducted at regular intervals. The last verification occurred on 31 st August 2022 . Due to these observations, the auditors decided to report on the issues in the Companies (Auditor's Report) Order (CARO) . However, the management disagreed, arguing that the issues should not be reported. After discussions, XY & Associates ultimately decided not to report the issues. XY & Associates were also auditing QR Ltd. and ST Bank Ltd. During the audit of QR Ltd. , there was a difference of opinion between management and the auditors regarding which of the following areas should be considered ""Key Audit Matters"" (KAM) as per SA 701 : 1. The effect of significant transactions during the financial year on the audit. 2. Areas of high risk, as assessed and reported by the management's expert. 3. Significant auditor judgment related to financial areas that involved significant management judgment. During the audit of ST Bank Ltd. , a difference of opinion arose regarding the amount and items that should be disclosed under the head contingent liabilities. Additionally, the auditors made the following observations: • 59 agricultural loan accounts (guaranteed by the Government of Uttar Pradesh) amounting to ` 2 9 lakh were overdue for more than two years. • 73 agricultural loan accounts (guaranteed by the Government of India) amounting to ` 2 5 lakh were overdue for more than two years. • 6 corporate loan accounts (guaranteed three each by the Government of India and Government of Uttar Pradesh) amounting to ` 25 lakh each were overdue for more than three months and a half month. Due to their reputation for efficiency, XY & Associates were offered incorporation services for UV General Insurance Ltd., a new company proposed to be set up with a paid - up share capital of ` 1 13 crore, of which preliminary expenses of ` 1 7 crores were included. The audit firm, after considering all facts, decided not to take on either assignment. Based on the above facts, answer the following:","4 . As per SA 701 – Communicating Key Audit Matters in the Independent Auditor’s Report , which of the following areas should XY & Associates consider when determining ""Key Audit Matters""? (i) The effect of significant transactions that took place during the financial year on the audit. (ii) Areas of high risk as assessed and reported by the management's expert. (iii) Significant auditor judgment related to financial areas involving significant management judgment.",(i) & (iii) ,(ii) only ,(i) & (ii) ,"(i), (ii) & (iii)",a,"As per SA 701, t he auditor shall determine, from the matters communicated with those charged with governance, those matters that required significant auditor attention in performing the audit. In making this determination, the auditor shall take into account the following : (i) Significant auditor judgments relating to areas in the financial statements that involved significant management judgment, including accounting estimates that have been identified as having high estimation uncertainty (ii) The effect on the audit of significant events or transactions that occurred during the period .",
3,1,"CA Love and CA Kush are close friends and are into practice as sole proprietors. Both decided to expand their focus on taking up more assignments in the field of Goods & Services Tax. On the back of the same, they both decided to conduct a joint training s ession for their clients on GST and decided to share the total fee collected thereof. They invited another CA from their professional circle to join the initiative . H owever, the person declined the same informing that this act was against professional ethi cs and w ould lead to disciplinary action from ICAI. The partner of M/s SB & Associates is a close friend of CA Love. The firm was involved in an audit of a listed company which was required to submit Business Responsibility and Sustainability Report (BRSR). The company being audited was into thermal energy production business in India. They had submitted details about the total emissions from its production outlets during the year and a detailed energy consumption plan which it had devised for the upcoming years. Since CA Love had undergone a course on Susta inability Reporting, he was approached for getting advice on what needs to be reported in the BRSR of the company. As a gesture for helping the firm, the partner of the firm suggested CA Love’s name f o r the post of becoming a member of the Board of Management of KYC Co - operative Bank, a Primary (Urban) Co - operative Bank and a client of SB & Associates. Upon hearing the same, CA Kush requested Love not to take up the post as it would lead to professional misconduct. CA Love was acting as an internal auditor of NN Technologies Private Limited. The company decided to raise more funds for expanding its business across the country by including new age technological services such as AI. Love was observing the business mode l and the way in which the company was operating for quite some time, and he was keen on investing in the company. As a result, he decided to invest in the company’s shares and ended up acquiring 9.75% of the shares (total face value of the shares acquired was ` 4.75 lakhs) of the company during the financial year. CA Kush got to know about this information, and he immediately urged Love to resign from being the internal auditor of NN Technologies Private Limited, for the reason that an internal auditor cannot hold any shares in the company, and it will lead to professional misconduct and also failure to comply with the provisions of the Companies Act, 2013 . However, Love did not accept the argument of Kush, and he said that nothing would happen because of him acquiring 9.75% shares in the company and continuing to act as its internal auditor. CA Kush was the statutory auditor for BD Finance Private Limited, a NBFC head quartered in India. The company’s treasury department had undergone changes in the recent past and the current set of team members did not have much experience in handling the tr easury functions. Due to this situation, the company reached out to their auditor , CA Kush , who was also into equity research advisory apart from CA practice, to support the company and the members of its treasury department for a brief period by giving In vestment Advisory Services, to ensure efficient utilization and management of the funds of the company. Before committing anything on the offer, CA Kush wanted to consult with CA Love as to whether the service requested by the NBFC can be performed by him. Based on the above facts, answer the following MCQs:",1. Whether the act of conducting joint training session on GST by CA Love & Kush and sharing of the fee collected leads to professional misconduct as per the Chartered Accountants Act 1949?,"Yes, as per clause 2 of Part I of First Schedule, a CA in practice is allowed only to pay / share the commission or brokerage or profits from his professional business only with another practicing CA. It does not allow sharing of any fee collected from joint training sessions. Hence both CA Love & Kush are guilty of professional misconduct. ","Yes, CA Love & Kush will be held guilty of professional misconduct for conducting the joint training session on GST as per part IV (other misconduct) of the First Schedule of the Chartered Accountants Act 1949. ","Yes, this is a case of solicitation of client whereby, CA Love can influence clients of CA Kush and vice - versa. Hence the conduct of the joint training session will lead to being guilty of professional misconduct as per clause 6 of Part I of First Sche dule of the Chartered Accountants Act 1949. ","No, as per the recent decisions of Ethical Standards Board, it is permissible for two or more CA s in practice collectively to have joint training session s for their clients on GST, and share the fee collected from the clients thereof.",d,"As per the recent decisions of the Ethical Standards Board, it is permissible for two or more Chartered Accountants in practice to have a joint training session s collectively for their clients on GST, and share the fees collected from the clients thereof.",
